Series Name;Series Code;Country Name;Country Code;2017;2018;2019;2020;2021
GDP (current US$);NY.GDP.MKTP.CD;Madagascar;MDG;131.763.135.935.509;136.144.125.508.812;141.919.115.120.465;132.255.918.036.232;14.637.400.395.689
GDP (current US$);NY.GDP.MKTP.CD;Malawi;MWI;894.354.367.718.899;988.067.621.882.611;110.253.707.688.135;121.721.284.695.737;126.267.180.737.439
GDP (current US$);NY.GDP.MKTP.CD;Malaysia;MYS;319.112.136.545.438;358.791.513.221.482;365276379480.99;337.006.023.789.699;372.701.358.820.264
GDP (current US$);NY.GDP.MKTP.CD;Maldives;MDV;475.417.586.924.027;530.096.265.951.088;560.776.262.514.627;374.276.996.742.798;488.966.693.163.855
GDP (current US$);NY.GDP.MKTP.CD;Mali;MLI;153.657.130.591.057;170.708.675.776.666;172.802.508.052.245;174.653.927.790.366;191.437.415.031.482
GDP (current US$);NY.GDP.MKTP.CD;Malta;MLT;135.050.564.415.193;153.012.794.782.071;157.195.009.205.362;14.917.038.504.285;171.897.304.695.554
GDP (current US$);NY.GDP.MKTP.CD;Marshall Islands;MHL;213204100;221588900;239462200;244462400;248665600
GDP (current US$);NY.GDP.MKTP.CD;Mauritania;MRT;680.013.596.161.412;735.253.358.559.316;788.965.528.447.161;791.598.551.370.246;822.758.074.049.889
GDP (current US$);NY.GDP.MKTP.CD;Mauritius;MUS;132.593.514.184.459;141.819.510.585.129;14.045.808.843.221;10.926.820.603.402;111.566.577.696.974
GDP (current US$);NY.GDP.MKTP.CD;Mexico;MEX;1158913035796.37;1222408203104.3;1269404276770.7;1087117783073.31;1293037866360.17
GDP (current US$);NY.GDP.MKTP.CD;Micronesia, Fed. Sts.;FSM;366666800;401932300;412.479.413.362.129;40.751.592.798.229;404.178.049.753.978
GDP (current US$);NY.GDP.MKTP.CD;Moldova;MDA;966.974.174.422.001;114.574.431.850.542;119.713.450.027.757;118.597.305.435.525;136.792.213.332.052
GDP (current US$);NY.GDP.MKTP.CD;Monaco;MCO;643.131.495.707.185;719.402.456.306.094;738.374.566.215.157;681.621.930.325.528;..
GDP (current US$);NY.GDP.MKTP.CD;Mongolia;MNG;114.808.477.453.187;131.780.944.594.548;142.063.590.068.095;13.312.981.594.573;150.980.228.286.106
GDP (current US$);NY.GDP.MKTP.CD;Montenegro;MNE;485.660.217.863.417;550.694.440.330.186;554.220.115.091.048;478.072.212.196.227;580.917.096.178.285
GDP (current US$);NY.GDP.MKTP.CD;Morocco;MAR;109.682.728.023.112;118.096.227.400.092;119.870.439.113.662;114.725.065.285.149;132.725.261.467.431
GDP (current US$);NY.GDP.MKTP.CD;Mozambique;MOZ;132.190.794.977.055;148.454.005.926.712;153.900.310.399.957;140.288.110.717.628;160.958.288.966.342
GDP (current US$);NY.GDP.MKTP.CD;Myanmar;MMR;614.493.920.561.488;671.447.258.305.753;68.697.759.361.231;789.302.572.270.908;650.678.089.846.792
GDP (current US$);NY.GDP.MKTP.CD;Namibia;NAM;12.895.153.160.466;136.820.622.492.236;125.432.034.106.928;10.562.637.375.594;122.362.507.841.336
GDP (current US$);NY.GDP.MKTP.CD;Nauru;NRU;109.359.680.217.211;124.021.393.690.412;118.724.073.809.183;114.626.625.553.023;133.218.896.932.607
GDP (current US$);NY.GDP.MKTP.CD;Nepal;NPL;289.715.892.132.184;331.115.258.719.538;341.861.909.959.565;334.336.705.119.364;362.888.303.734.106
GDP (current US$);NY.GDP.MKTP.CD;Netherlands;NLD;833869641687.06;914.043.438.179.607;910.194.347.568.626;913.865.395.789.886;1018007056949.6
GDP (current US$);NY.GDP.MKTP.CD;New Caledonia;NCL;917.366.810.213.844;984.692.241.614.776;943.813.098.737.298;94.355.299.272.471;..
GDP (current US$);NY.GDP.MKTP.CD;New Zealand;NZL;206.623.758.800.159;211.953.111.035.513;213.434.571.357.984;211.734.532.308.013;249.991.512.236.526
GDP (current US$);NY.GDP.MKTP.CD;Nicaragua;NIC;137.859.099.061.925;130.252.399.122.751;125.966.360.422.321;125.869.413.926.347;140.130.220.920.645
GDP (current US$);NY.GDP.MKTP.CD;Niger;NER;111.851.023.995.762;128.086.605.280.617;129.164.551.611.081;13.741.378.450.136;149.509.498.752.729
GDP (current US$);NY.GDP.MKTP.CD;Nigeria;NGA;375.746.469.538.666;397.190.484.464.308;448.120.428.858.769;432.293.776.262.398;440.776.971.536.015
GDP (current US$);NY.GDP.MKTP.CD;North Macedonia;MKD;113.070.583.823.435;126.830.700.614.695;12.606.338.448.547;121.169.818.152.261;138.792.691.515.718
GDP (current US$);NY.GDP.MKTP.CD;Northern Mariana Islands;MNP;1560000000;1302000000;1182000000;..;..
